period,demand_mwh
2020-06-01 00:00:00,46841
2020-06-01 01:00:00,45537
2020-06-01 02:00:00,44812
2020-06-01 03:00:00,44041
2020-06-01 04:00:00,41824
2020-06-01 05:00:00,38913
2020-06-01 06:00:00,36359
2020-06-01 07:00:00,34475
2020-06-01 08:00:00,33198
2020-06-01 09:00:00,32473
2020-06-01 10:00:00,32474
2020-06-01 11:00:00,33492
2020-06-01 12:00:00,34960
2020-06-01 13:00:00,36309
2020-06-01 14:00:00,38258
2020-06-01 15:00:00,40367
2020-06-01 16:00:00,42617
2020-06-01 17:00:00,44976
2020-06-01 18:00:00,47501
2020-06-01 19:00:00,49575
2020-06-01 20:00:00,51095
2020-06-01 21:00:00,52176
2020-06-01 22:00:00,52334
2020-06-01 23:00:00,51827
2020-06-02 00:00:00,50805
2020-06-02 01:00:00,49075
2020-06-02 02:00:00,48003
2020-06-02 03:00:00,46873
2020-06-02 04:00:00,44056
2020-06-02 05:00:00,40621
2020-06-02 06:00:00,37735
2020-06-02 07:00:00,35675
2020-06-02 08:00:00,34294
2020-06-02 09:00:00,33465
2020-06-02 10:00:00,33425
2020-06-02 11:00:00,34368
2020-06-02 12:00:00,35797
2020-06-02 13:00:00,37334
2020-06-02 14:00:00,39837
2020-06-02 15:00:00,42914
2020-06-02 16:00:00,46453
2020-06-02 17:00:00,49831
2020-06-02 18:00:00,52723
2020-06-02 19:00:00,55350
2020-06-02 20:00:00,57235
2020-06-02 21:00:00,58381
2020-06-02 22:00:00,58939
2020-06-02 23:00:00,58471
2020-06-03 00:00:00,57136
2020-06-03 01:00:00,54852
2020-06-03 02:00:00,52700
2020-06-03 03:00:00,51137
2020-06-03 04:00:00,47912
2020-06-03 05:00:00,44269
2020-06-03 06:00:00,41075
2020-06-03 07:00:00,38783
2020-06-03 08:00:00,37091
2020-06-03 09:00:00,36108
2020-06-03 10:00:00,35902
2020-06-03 11:00:00,36585
2020-06-03 12:00:00,37633
2020-06-03 13:00:00,39171
2020-06-03 14:00:00,41931
2020-06-03 15:00:00,45227
2020-06-03 16:00:00,48787
2020-06-03 17:00:00,52383
2020-06-03 18:00:00,55564
2020-06-03 19:00:00,57937
2020-06-03 20:00:00,59285
2020-06-03 21:00:00,59499
2020-06-03 22:00:00,59324
2020-06-03 23:00:00,59341
2020-06-04 00:00:00,58618
2020-06-04 01:00:00,56624
2020-06-04 02:00:00,54343
2020-06-04 03:00:00,52734
2020-06-04 04:00:00,49385
2020-06-04 05:00:00,45684
2020-06-04 06:00:00,42445
2020-06-04 07:00:00,40015
2020-06-04 08:00:00,38417
2020-06-04 09:00:00,37259
2020-06-04 10:00:00,36918
2020-06-04 11:00:00,37603
2020-06-04 12:00:00,38748
2020-06-04 13:00:00,40464
2020-06-04 14:00:00,43529
2020-06-04 15:00:00,46879
2020-06-04 16:00:00,50563
2020-06-04 17:00:00,54590
2020-06-04 18:00:00,58267
2020-06-04 19:00:00,61344
2020-06-04 20:00:00,63419
2020-06-04 21:00:00,64758
2020-06-04 22:00:00,65357
2020-06-04 23:00:00,64886
2020-06-05 00:00:00,63128
2020-06-05 01:00:00,60376
2020-06-05 02:00:00,57778
2020-06-05 03:00:00,55866
2020-06-05 04:00:00,52229
2020-06-05 05:00:00,48124
2020-06-05 06:00:00,44524
2020-06-05 07:00:00,41735
2020-06-05 08:00:00,39676
2020-06-05 09:00:00,38328
2020-06-05 10:00:00,37906
2020-06-05 11:00:00,38409
2020-06-05 12:00:00,39262
2020-06-05 13:00:00,40871
2020-06-05 14:00:00,43847
2020-06-05 15:00:00,47730
2020-06-05 16:00:00,51818
2020-06-05 17:00:00,55768
2020-06-05 18:00:00,59068
2020-06-05 19:00:00,61903
2020-06-05 20:00:00,63818
2020-06-05 21:00:00,64799
2020-06-05 22:00:00,65154
2020-06-05 23:00:00,65004
2020-06-06 00:00:00,63548
2020-06-06 01:00:00,61158
2020-06-06 02:00:00,58313
2020-06-06 03:00:00,56141
2020-06-06 04:00:00,52610
2020-06-06 05:00:00,48823
2020-06-06 06:00:00,45167
2020-06-06 07:00:00,42303
2020-06-06 08:00:00,40134
2020-06-06 09:00:00,38449
2020-06-06 10:00:00,37376
2020-06-06 11:00:00,36908
2020-06-06 12:00:00,36631
2020-06-06 13:00:00,37840
2020-06-06 14:00:00,41468
2020-06-06 15:00:00,46127
2020-06-06 16:00:00,50714
2020-06-06 17:00:00,55148
2020-06-06 18:00:00,58610
